주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
FCF,-289.0,56.0,257.0,-306.0,110.0,,,,014830,유니드
이자발생부채,2360.0,2378.0,3546.0,3343.0,3214.0,,,,014830,유니드
영업이익률,6.48,11.26,8.93,3.47,7.7,,,,014830,유니드
순이익률,4.73,42.13,0.68,-5.34,1.89,,,,014830,유니드
ROE(%),8.76,17.37,15.65,13.49,12.61,,,,014830,유니드
ROA(%),4.71,10.26,8.78,7.59,7.07,,,,014830,유니드
부채비율,62.85,57.93,71.25,70.76,67.34,,,59.15,014830,유니드
자본유보율,1439.53,1658.8,1209.4,1187.99,1175.37,,,,014830,유니드
EPS(원),1009.0,8128.0,336.0,-937.0,477.0,,,,014830,유니드
PER(배),9.32,4.57,5.66,5.35,6.22,,,,014830,유니드
BPS(원),60262.0,69199.0,68406.0,67454.0,66740.0,,,71324.0,014830,유니드
PBR(배),0.79,0.73,0.82,0.68,0.75,,,0.66,014830,유니드
현금DPS(원),0.0,0.0,0.0,1100.0,,,,,014830,유니드
현금배당수익률,0.0,,,,,,,,014830,유니드
현금배당성향(%),0.0,0.0,0.0,-117.44,,,,,014830,유니드
발행주식수(보통주),8889843.0,8889843.0,8889843.0,8889843.0,8889843.0,,,,014830,유니드
주요재무정보,2015/03(IFRS별도),2015/06(IFRS별도),2015/09(IFRS별도),2015/12(IFRS별도),2016/03(IFRS별도),2016/06(E)(IFRS별도),2016/09(E)(IFRS별도),2016/12(E)(IFRS별도),code,name
매출액,518.0,605.0,558.0,557.0,535.0,,,,002960,한국쉘석유
영업이익,85.0,130.0,96.0,80.0,88.0,,,,002960,한국쉘석유
세전계속사업이익,92.0,130.0,100.0,86.0,96.0,,,,002960,한국쉘석유
당기순이익,71.0,102.0,77.0,63.0,74.0,,,,002960,한국쉘석유
당기순이익(지배),71.0,102.0,77.0,63.0,74.0,,,,002960,한국쉘석유
당기순이익(비지배),,,,,,,,,002960,한국쉘석유
자산총계,1191.0,1124.0,1132.0,1265.0,1288.0,,,,002960,한국쉘석유
부채총계,436.0,266.0,224.0,297.0,479.0,,,,002960,한국쉘석유
자본총계,756.0,857.0,908.0,969.0,809.0,,,,002960,한국쉘석유
자본총계(지배),756.0,857.0,908.0,969.0,809.0,,,,002960,한국쉘석유
자본총계(비지배),,,,,,,,,002960,한국쉘석유
자본금,70.0,70.0,70.0,70.0,70.0,,,,002960,한국쉘석유
영업활동현금흐름,78.0,126.0,31.0,143.0,44.0,,,,002960,한국쉘석유
투자활동현금흐름,-5.0,-4.0,-4.0,-363.0,31.0,,,,002960,한국쉘석유
재무활동현금흐름,,-221.0,-26.0,,,,,,002960,한국쉘석유
CAPEX,2.0,4.0,6.0,3.0,1.0,,,,002960,한국쉘석유
FCF,76.0,122.0,25.0,141.0,44.0,,,,002960,한국쉘석유
이자발생부채,,,,,,,,,002960,한국쉘석유
영업이익률,16.45,21.41,17.28,14.29,16.52,,,,002960,한국쉘석유
순이익률,13.67,16.77,13.8,11.28,13.82,,,,002960,한국쉘석유
ROE(%),36.94,35.9,35.94,33.31,40.32,,,,002960,한국쉘석유
ROA(%),22.41,27.22,28.25,25.84,25.44,,,,002960,한국쉘석유
부채비율,57.67,31.08,24.66,30.65,59.28,,,,002960,한국쉘석유
자본유보율,979.49,1124.51,1197.37,1283.63,1055.08,,,,002960,한국쉘석유
EPS(원),5447.0,7809.0,5923.0,4831.0,5693.0,,,,002960,한국쉘석유
PER(배),20.87,21.17,21.3,19.64,20.28,,,,002960,한국쉘석유
BPS(원),58126.0,65935.0,69858.0,74503.0,62197.0,,,,002960,한국쉘석유
PBR(배),7.59,7.39,7.39,6.33,7.91,,,,002960,한국쉘석유
현금DPS(원),0.0,2000.0,0.0,18000.0,,,,,002960,한국쉘석유
현금배당수익률,,,,,,,,,002960,한국쉘석유
현금배당성향(%),0.0,25.61,0.0,372.58,,,,,002960,한국쉘석유
발행주식수(보통주),1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,,,,002960,한국쉘석유
주요재무정보,2015/03,2015/06,2015/09(IFRS별도),2015/12(IFRS별도),2016/03(IFRS별도),2016/06(E)(IFRS별도),2016/09(E)(IFRS별도),2016/12(E)(IFRS별도),code,name
매출액,214.0,227.0,-132.0,105.0,95.0,,,,078130,국일제지
영업이익,-5.0,-2.0,14.0,2.0,-1.0,,,,078130,국일제지
세전계속사업이익,-12.0,-10.0,23.0,-15.0,5.0,,,,078130,국일제지
당기순이익,-12.0,-19.0,206.0,-29.0,5.0,,,,078130,국일제지
당기순이익(지배),-6.0,-10.0,191.0,-29.0,5.0,,,,078130,국일제지
당기순이익(비지배),-6.0,-9.0,15.0,,,,,,078130,국일제지
자산총계,1185.0,1196.0,944.0,1009.0,1015.0,,,,078130,국일제지
부채총계,803.0,802.0,413.0,507.0,510.0,,,,078130,국일제지
자본총계,382.0,393.0,531.0,502.0,504.0,,,,078130,국일제지
자본총계(지배),303.0,301.0,531.0,502.0,504.0,,,,078130,국일제지
자본총계(비지배),79.0,93.0,,,,,,,078130,국일제지
자본금,100.0,100.0,103.0,103.0,103.0,,,,078130,국일제지
영업활동현금흐름,-47.0,12.0,-24.0,-45.0,-41.0,,,,078130,국일제지
투자활동현금흐름,-13.0,-38.0,1.0,-18.0,-9.0,,,,078130,국일제지
재무활동현금흐름,72.0,19.0,45.0,97.0,22.0,,,,078130,국일제지
CAPEX,4.0,6.0,0.0,1.0,4.0,,,,078130,국일제지
FCF,-51.0,6.0,-24.0,-46.0,-45.0,,,,078130,국일제지
이자발생부채,609.0,600.0,304.0,398.0,415.0,,,,078130,국일제지
영업이익률,-2.46,-0.78,-10.93,1.53,-1.44,,,,078130,국일제지
순이익률,-5.61,-8.44,-156.65,-27.71,5.62,,,,078130,국일제지
ROE(%),-11.99,-17.15,66.29,73.08,72.66,,,,078130,국일제지
ROA(%),-4.92,-7.22,33.74,28.15,36.91,,,,078130,국일제지
부채비율,210.28,203.9,77.7,100.94,101.24,,,,078130,국일제지
자본유보율,202.69,200.4,415.77,387.16,389.66,,,,078130,국일제지
EPS(원),-29.0,-51.0,1023.0,-141.0,26.0,,,,078130,국일제지
PER(배),-6.03,-6.8,2.19,2.14,2.41,,,,078130,국일제지
BPS(원),1515.0,1504.0,2582.0,2439.0,2449.0,,,,078130,국일제지
PBR(배),0.77,1.26,1.19,1.26,1.44,,,,078130,국일제지
현금DPS(원),0.0,0.0,0.0,0.0,,,,,078130,국일제지
현금배당수익률,,,,,,,,,078130,국일제지
현금배당성향(%),0.0,0.0,0.0,0.0,,,,,078130,국일제지
발행주식수(보통주),20000000.0,20000000.0,20588234.0,20588234.0,20588234.0,,,,078130,국일제지
주요재무정보,2015/03(IFRS별도),2015/06(IFRS별도),2015/09(IFRS별도),2015/12(IFRS별도),2016/03(IFRS별도),2016/06(E)(IFRS별도),2016/09(E)(IFRS별도),2016/12(E)(IFRS별도),code,name
매출액,83.0,133.0,113.0,126.0,133.0,,,,003350,한국화장품제조
영업이익,4.0,14.0,16.0,14.0,20.0,,,,003350,한국화장품제조
세전계속사업이익,-2.0,7.0,10.0,14.0,23.0,,,,003350,한국화장품제조
당기순이익,-2.0,4.0,6.0,12.0,18.0,,,,003350,한국화장품제조
당기순이익(지배),-2.0,4.0,6.0,12.0,18.0,,,,003350,한국화장품제조
당기순이익(비지배),,,,,,,,,003350,한국화장품제조
자산총계,471.0,499.0,500.0,502.0,528.0,,,,003350,한국화장품제조
부채총계,143.0,165.0,161.0,155.0,162.0,,,,003350,한국화장품제조
자본총계,329.0,333.0,338.0,347.0,365.0,,,,003350,한국화장품제조
자본총계(지배),329.0,333.0,338.0,347.0,365.0,,,,003350,한국화장품제조
자본총계(비지배),,,,,,,,,003350,한국화장품제조
자본금,23.0,23.0,23.0,23.0,23.0,,,,003350,한국화장품제조
영업활동현금흐름,3.0,2.0,24.0,44.0,-32.0,,,,003350,한국화장품제조
투자활동현금흐름,-1.0,18.0,-55.0,-28.0,46.0,,,,003350,한국화장품제조
재무활동현금흐름,,-20.0,30.0,-18.0,-8.0,,,,003350,한국화장품제조
CAPEX,3.0,2.0,2.0,2.0,10.0,,,,003350,한국화장품제조
FCF,0.0,-1.0,22.0,42.0,-41.0,,,,003350,한국화장품제조
이자발생부채,70.0,50.0,80.0,62.0,55.0,,,,003350,한국화장품제조
영업이익률,4.54,10.42,14.5,11.43,14.78,,,,003350,한국화장품제조
순이익률,-3.01,3.05,5.13,9.88,13.63,,,,003350,한국화장품제조
ROE(%),25.79,27.02,-6.94,5.85,11.65,,,,003350,한국화장품제조
ROA(%),17.16,17.65,-4.84,4.09,8.09,,,,003350,한국화장품제조
부채비율,43.36,49.61,47.71,44.52,44.43,,,,003350,한국화장품제조
자본유보율,1415.81,1433.68,1459.31,1495.12,1574.99,,,,003350,한국화장품제조
EPS(원),-55.0,89.0,128.0,275.0,399.0,,,,003350,한국화장품제조
PER(배),31.5,22.59,-69.7,77.17,35.31,,,,003350,한국화장품제조
BPS(원),9072.0,9196.0,9336.0,9583.0,10081.0,,,,003350,한국화장품제조
PBR(배),5.76,4.31,4.02,3.53,3.12,,,,003350,한국화장품제조
현금DPS(원),0.0,0.0,0.0,,,,,,003350,한국화장품제조
현금배당수익률,,,,,,,,,003350,한국화장품제조
현금배당성향(%),0.0,0.0,0.0,0.0,,,,,003350,한국화장품제조
발행주식수(보통주),4532000.0,4532000.0,4532000.0,4532000.0,4532000.0,,,,003350,한국화장품제조
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,178.0,172.0,166.0,177.0,154.0,,,,000760,이화산업
영업이익,-24.0,5.0,7.0,4.0,0.0,,,,000760,이화산업
세전계속사업이익,-30.0,4.0,4.0,0.0,-9.0,,,,000760,이화산업
당기순이익,-24.0,3.0,4.0,0.0,-9.0,,,,000760,이화산업
당기순이익(지배),-23.0,2.0,3.0,1.0,-8.0,,,,000760,이화산업
당기순이익(비지배),-1.0,2.0,1.0,-1.0,-1.0,,,,000760,이화산업
자산총계,2733.0,2758.0,2757.0,2777.0,2783.0,,,,000760,이화산업
부채총계,856.0,878.0,873.0,893.0,905.0,,,,000760,이화산업
자본총계,1877.0,1880.0,1884.0,1884.0,1878.0,,,,000760,이화산업
자본총계(지배),1095.0,1097.0,1100.0,1101.0,1095.0,,,,000760,이화산업
자본총계(비지배),781.0,783.0,784.0,783.0,783.0,,,,000760,이화산업
자본금,140.0,140.0,140.0,140.0,140.0,,,,000760,이화산업
영업활동현금흐름,-13.0,22.0,15.0,2.0,14.0,,,,000760,이화산업
투자활동현금흐름,-8.0,-10.0,-2.0,-13.0,-26.0,,,,000760,이화산업
재무활동현금흐름,3.0,15.0,11.0,6.0,30.0,,,,000760,이화산업
CAPEX,-3.0,1.0,6.0,8.0,-7.0,,,,000760,이화산업
FCF,-10.0,21.0,10.0,-5.0,21.0,,,,000760,이화산업
이자발생부채,688.0,702.0,713.0,719.0,749.0,,,,000760,이화산업
영업이익률,-13.42,3.17,3.94,2.05,-0.08,,,,000760,이화산업
순이익률,-13.48,1.89,2.53,0.16,-5.78,,,,000760,이화산업
ROE(%),6.74,-2.56,-2.14,-1.57,-0.24,,,,000760,이화산업
ROA(%),2.69,-0.99,-0.84,-0.59,-0.04,,,,000760,이화산업
부채비율,45.63,46.69,46.34,47.39,48.19,,,,000760,이화산업
자본유보율,682.51,683.63,685.74,686.34,682.16,,,,000760,이화산업
EPS(원),-830.0,59.0,109.0,38.0,-299.0,,,,000760,이화산업
PER(배),12.77,-26.34,-25.68,-28.36,-213.89,,,,000760,이화산업
BPS(원),39123.0,39179.0,39283.0,39310.0,39104.0,,,,000760,이화산업
PBR(배),0.84,0.69,0.56,0.45,0.51,,,,000760,이화산업
현금DPS(원),0.0,0.0,0.0,,,,,,000760,이화산업
현금배당수익률,,,,,,,,,000760,이화산업
현금배당성향(%),0.0,0.0,0.0,0.0,,,,,000760,이화산업
발행주식수(보통주),2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,,,,000760,이화산업
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,1122.0,1249.0,1074.0,1231.0,1207.0,,,,013870,지엠비코리아
영업이익,53.0,44.0,-4.0,76.0,65.0,,,,013870,지엠비코리아
세전계속사업이익,42.0,62.0,-10.0,60.0,70.0,,,,013870,지엠비코리아
당기순이익,38.0,50.0,-20.0,52.0,59.0,,,,013870,지엠비코리아
당기순이익(지배),37.0,48.0,-16.0,48.0,55.0,,,,013870,지엠비코리아
당기순이익(비지배),1.0,2.0,-4.0,3.0,3.0,,,,013870,지엠비코리아
자산총계,4368.0,4519.0,4528.0,4594.0,4540.0,,,,013870,지엠비코리아
부채총계,2288.0,2379.0,2389.0,2451.0,2367.0,,,,013870,지엠비코리아
자본총계,2081.0,2140.0,2139.0,2143.0,2174.0,,,,013870,지엠비코리아
자본총계(지배),2015.0,2072.0,2073.0,2076.0,2104.0,,,,013870,지엠비코리아
자본총계(비지배),66.0,68.0,66.0,67.0,70.0,,,,013870,지엠비코리아
자본금,95.0,95.0,95.0,95.0,95.0,,,,013870,지엠비코리아
영업활동현금흐름,-18.0,-12.0,21.0,152.0,109.0,,,,013870,지엠비코리아
투자활동현금흐름,-82.0,-118.0,-88.0,-96.0,-61.0,,,,013870,지엠비코리아
재무활동현금흐름,26.0,51.0,89.0,-13.0,-45.0,,,,013870,지엠비코리아
CAPEX,105.0,91.0,79.0,92.0,76.0,,,,013870,지엠비코리아
FCF,-123.0,-103.0,-58.0,60.0,33.0,,,,013870,지엠비코리아
이자발생부채,1134.0,1230.0,1361.0,1335.0,1282.0,,,,013870,지엠비코리아
영업이익률,4.76,3.51,-0.39,6.19,5.4,,,,013870,지엠비코리아
순이익률,3.37,4.0,-1.84,4.2,4.85,,,,013870,지엠비코리아
ROE(%),7.79,7.73,5.04,5.76,6.62,,,,013870,지엠비코리아
ROA(%),3.81,3.72,2.36,2.69,3.15,,,,013870,지엠비코리아
부채비율,109.94,111.15,111.68,114.37,108.89,,,,013870,지엠비코리아
자본유보율,2006.37,2057.05,2040.64,2065.92,2099.84,,,,013870,지엠비코리아
EPS(원),193.0,253.0,-82.0,253.0,290.0,,,,013870,지엠비코리아
PER(배),7.98,6.91,10.43,7.6,6.84,,,,013870,지엠비코리아
BPS(원),10564.0,10863.0,10871.0,10884.0,11031.0,,,,013870,지엠비코리아
PBR(배),0.61,0.52,0.52,0.43,0.44,,,,013870,지엠비코리아
현금DPS(원),0.0,0.0,0.0,120.0,,,,,013870,지엠비코리아
현금배당수익률,,,,,,,,,013870,지엠비코리아
현금배당성향(%),0.0,0.0,0.0,47.34,,,,,013870,지엠비코리아
발행주식수(보통주),19072280.0,19072280.0,19072280.0,19072280.0,19072280.0,,,,013870,지엠비코리아
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,13921.0,14256.0,14582.0,14712.0,15028.0,,,,000370,한화손해보험
영업이익,277.0,405.0,314.0,195.0,401.0,,,,000370,한화손해보험
세전계속사업이익,273.0,398.0,310.0,189.0,388.0,,,,000370,한화손해보험
당기순이익,210.0,384.0,241.0,122.0,293.0,,,,000370,한화손해보험
당기순이익(지배),210.0,384.0,241.0,122.0,293.0,,,,000370,한화손해보험
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,,000370,한화손해보험
자산총계,108037.0,110934.0,115917.0,118034.0,121905.0,,,,000370,한화손해보험
부채총계,100011.0,103429.0,107339.0,109425.0,112323.0,,,,000370,한화손해보험
자본총계,8025.0,7506.0,8578.0,8609.0,9582.0,,,,000370,한화손해보험
자본총계(지배),8025.0,7506.0,8578.0,8609.0,9582.0,,,,000370,한화손해보험
자본총계(비지배),,,,,,,,,000370,한화손해보험
자본금,4537.0,4537.0,4537.0,4537.0,4537.0,,,,000370,한화손해보험
영업활동현금흐름,846.0,1679.0,924.0,-133.0,1406.0,,,,000370,한화손해보험
투자활동현금흐름,-1415.0,-1765.0,-405.0,143.0,-768.0,,,,000370,한화손해보험
재무활동현금흐름,0.0,0.0,-300.0,0.0,-64.0,,,,000370,한화손해보험
CAPEX,22.0,25.0,16.0,30.0,23.0,,,,000370,한화손해보험
FCF,,,,,,,,,000370,한화손해보험
이자발생부채,1945.0,1945.0,1646.0,1646.0,1647.0,,,,000370,한화손해보험
영업이익률,1.99,2.84,2.15,1.32,2.67,,,,000370,한화손해보험
순이익률,1.51,2.7,1.65,0.83,1.95,,,,000370,한화손해보험
ROE(%),4.77,8.52,9.91,13.15,11.83,,,,000370,한화손해보험
ROA(%),0.32,0.55,0.68,0.87,0.91,,,,000370,한화손해보험
부채비율,1246.2,1377.98,1251.37,1271.04,1172.26,,,,000370,한화손해보험
자본유보율,76.89,65.44,89.06,89.75,111.19,,,,000370,한화손해보험
EPS(원),231.0,423.0,266.0,135.0,323.0,,,,000370,한화손해보험
PER(배),13.05,9.79,9.16,7.39,7.36,,,,000370,한화손해보험
BPS(원),8844.0,8272.0,9453.0,9488.0,10560.0,,,,000370,한화손해보험
PBR(배),0.53,0.74,0.78,0.82,0.8,,,,000370,한화손해보험
현금DPS(원),0.0,0.0,0.0,70.0,,,,,000370,한화손해보험
현금배당수익률,,,,,,,,,000370,한화손해보험
현금배당성향(%),0.0,0.0,0.0,51.87,,,,,000370,한화손해보험
발행주식수(보통주),90738915.0,90738915.0,90738915.0,90738915.0,90738915.0,,,,000370,한화손해보험
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,140.0,130.0,160.0,149.0,130.0,,,,043590,크로바하이텍
영업이익,-1.0,-11.0,-3.0,-11.0,1.0,,,,043590,크로바하이텍
세전계속사업이익,-1.0,-12.0,-18.0,-11.0,-8.0,,,,043590,크로바하이텍
당기순이익,-1.0,-10.0,-18.0,-7.0,-8.0,,,,043590,크로바하이텍
당기순이익(지배),-1.0,-10.0,-18.0,-7.0,-8.0,,,,043590,크로바하이텍
당기순이익(비지배),,,,,,,,,043590,크로바하이텍
자산총계,716.0,707.0,719.0,667.0,678.0,,,,043590,크로바하이텍
부채총계,348.0,349.0,379.0,333.0,351.0,,,,043590,크로바하이텍
자본총계,368.0,358.0,340.0,334.0,327.0,,,,043590,크로바하이텍
자본총계(지배),368.0,358.0,340.0,334.0,327.0,,,,043590,크로바하이텍
자본총계(비지배),,,,,,,,,043590,크로바하이텍
자본금,65.0,65.0,65.0,65.0,65.0,,,,043590,크로바하이텍
영업활동현금흐름,-4.0,0.0,7.0,27.0,8.0,,,,043590,크로바하이텍
투자활동현금흐름,-16.0,-3.0,-2.0,-24.0,-5.0,,,,043590,크로바하이텍
재무활동현금흐름,16.0,6.0,-3.0,-14.0,16.0,,,,043590,크로바하이텍
CAPEX,6.0,3.0,1.0,5.0,5.0,,,,043590,크로바하이텍
FCF,-10.0,-3.0,6.0,23.0,3.0,,,,043590,크로바하이텍
이자발생부채,227.0,233.0,248.0,228.0,249.0,,,,043590,크로바하이텍
영업이익률,-0.45,-8.76,-1.87,-7.36,0.83,,,,043590,크로바하이텍
순이익률,-0.63,-7.42,-11.25,-4.36,-5.92,,,,043590,크로바하이텍
ROE(%),-4.03,-7.43,-10.66,-9.91,-12.05,,,,043590,크로바하이텍
ROA(%),-2.06,-3.8,-5.33,-5.15,-6.0,,,,043590,크로바하이텍
부채비율,94.79,97.53,111.77,99.49,107.38,,,,043590,크로바하이텍
자본유보율,465.69,450.87,423.2,413.18,401.34,,,,043590,크로바하이텍
EPS(원),-7.0,-74.0,-138.0,-50.0,-59.0,,,,043590,크로바하이텍
PER(배),-49.51,-17.72,-12.96,-12.81,-12.32,,,,043590,크로바하이텍
BPS(원),2845.0,2769.0,2628.0,2588.0,2530.0,,,,043590,크로바하이텍
PBR(배),2.02,1.36,1.45,1.33,1.57,,,,043590,크로바하이텍
현금DPS(원),0.0,0.0,0.0,,,,,,043590,크로바하이텍
현금배당수익률,,,,,,,,,043590,크로바하이텍
현금배당성향(%),0.0,0.0,0.0,0.0,,,,,043590,크로바하이텍
발행주식수(보통주),13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,,,,043590,크로바하이텍
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,301.0,210.0,247.0,680.0,285.0,232.0,272.0,750.0,100220,비상교육
영업이익,21.0,-31.0,-19.0,314.0,8.0,-35.0,-21.0,336.0,100220,비상교육
세전계속사업이익,17.0,-49.0,-25.0,287.0,5.0,-43.0,-22.0,323.0,100220,비상교육
당기순이익,12.0,-44.0,-19.0,219.0,3.0,-37.0,-15.0,246.0,100220,비상교육
당기순이익(지배),12.0,-44.0,-19.0,218.0,4.0,-37.0,-15.0,245.0,100220,비상교육
당기순이익(비지배),0.0,0.0,0.0,1.0,0.0,,,,100220,비상교육
자산총계,2183.0,2025.0,1999.0,2352.0,2284.0,2189.0,2172.0,2473.0,100220,비상교육
부채총계,631.0,508.0,501.0,630.0,587.0,506.0,502.0,554.0,100220,비상교육
자본총계,1552.0,1517.0,1498.0,1722.0,1698.0,1683.0,1670.0,1919.0,100220,비상교육
자본총계(지배),1555.0,1521.0,1502.0,1725.0,1700.0,1686.0,1673.0,1922.0,100220,비상교육
자본총계(비지배),-3.0,-4.0,-4.0,-3.0,-3.0,,,,100220,비상교육
자본금,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,100220,비상교육
영업활동현금흐름,311.0,82.0,5.0,4.0,277.0,72.0,-27.0,-321.0,100220,비상교육
투자활동현금흐름,-3.0,-45.0,-41.0,-41.0,-51.0,-18.0,-11.0,9.0,100220,비상교육
재무활동현금흐름,-252.0,-16.0,,0.0,-25.0,-42.0,-19.0,-19.0,100220,비상교육
CAPEX,1.0,25.0,1.0,1.0,1.0,18.0,1.0,0.0,100220,비상교육
FCF,310.0,57.0,4.0,3.0,276.0,40.0,-35.0,-349.0,100220,비상교육
이자발생부채,240.0,240.0,230.0,230.0,205.0,,,,100220,비상교육
영업이익률,6.83,-14.96,-7.59,46.17,2.71,-15.02,-7.75,44.87,100220,비상교육
순이익률,4.07,-20.98,-7.55,32.24,1.21,-15.99,-5.64,32.84,100220,비상교육
ROE(%),7.45,9.28,8.62,10.24,9.82,,,,100220,비상교육
ROA(%),4.93,6.54,6.11,7.02,7.16,,,,100220,비상교육
부채비율,40.65,33.5,33.43,36.57,34.56,30.09,30.04,28.9,100220,비상교육
자본유보율,2520.95,2453.64,2425.16,2764.84,2728.45,,,,100220,비상교육
EPS(원),93.0,-336.0,-143.0,1680.0,28.0,-284.0,-118.0,1889.0,100220,비상교육
PER(배),11.22,8.98,9.2,6.28,9.47,,,,100220,비상교육
BPS(원),12703.0,12424.0,12273.0,14091.0,13892.0,13773.0,13670.0,15700.0,100220,비상교육
PBR(배),0.78,0.76,0.72,0.58,0.84,0.78,0.78,0.68,100220,비상교육
현금DPS(원),0.0,0.0,0.0,200.0,,,,,100220,비상교육
현금배당수익률,,,,,,,,,100220,비상교육
현금배당성향(%),0.0,0.0,0.0,11.21,,,,,100220,비상교육
발행주식수(보통주),12996741.0,12996741.0,12996741.0,12996741.0,12996741.0,,,,100220,비상교육
주요재무정보,2015/03(IFRS별도),2015/06(IFRS별도),2015/09(IFRS별도),2015/12(IFRS별도),2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,841.0,833.0,914.0,996.0,912.0,,,,002390,한독
영업이익,-8.0,1.0,9.0,64.0,2.0,,,,002390,한독
세전계속사업이익,-30.0,-26.0,-24.0,124.0,5.0,,,,002390,한독
당기순이익,-38.0,-24.0,-22.0,106.0,0.0,,,,002390,한독
당기순이익(지배),-38.0,-24.0,-22.0,106.0,3.0,,,,002390,한독
당기순이익(비지배),,,,,-2.0,,,,002390,한독
자산총계,5057.0,5119.0,5206.0,5383.0,5490.0,,,4951.0,002390,한독
부채총계,2054.0,2139.0,2251.0,2219.0,2466.0,,,1790.0,002390,한독
자본총계,3003.0,2980.0,2956.0,3164.0,3024.0,,,3110.0,002390,한독
자본총계(지배),3003.0,2980.0,2956.0,3164.0,2974.0,,,3110.0,002390,한독
자본총계(비지배),,,,,50.0,,,,002390,한독
자본금,63.0,63.0,63.0,63.0,63.0,,,63.0,002390,한독
영업활동현금흐름,0.0,128.0,7.0,17.0,36.0,,,,002390,한독
투자활동현금흐름,-22.0,-88.0,-56.0,-55.0,-189.0,,,,002390,한독
재무활동현금흐름,2.0,-6.0,-2.0,27.0,148.0,,,,002390,한독
CAPEX,24.0,12.0,40.0,48.0,82.0,,,,002390,한독
FCF,-24.0,116.0,-33.0,-31.0,-45.0,,,,002390,한독
이자발생부채,894.0,908.0,906.0,935.0,1084.0,,,,002390,한독
영업이익률,-0.94,0.11,0.94,6.4,0.17,,,,002390,한독
순이익률,-4.54,-2.83,-2.43,10.6,0.05,,,,002390,한독
ROE(%),0.38,-0.12,-0.46,0.68,,,,,002390,한독
ROA(%),0.22,-0.07,-0.27,0.41,,,,,002390,한독
부채비율,68.4,71.78,76.16,70.12,81.56,,,57.56,002390,한독
자본유보율,4709.23,4669.9,4634.07,4959.45,4762.82,,,,002390,한독
EPS(원),-303.0,-188.0,-177.0,838.0,22.0,,,,002390,한독
PER(배),274.78,-1379.17,-208.6,171.36,,,,,002390,한독
BPS(원),24125.0,23940.0,23743.0,25420.0,23891.0,,,24984.0,002390,한독
PBR(배),1.03,1.61,0.97,1.15,1.49,,,1.49,002390,한독
현금DPS(원),0.0,0.0,0.0,100.0,,,,,002390,한독
현금배당수익률,,,,,,,,,002390,한독
현금배당성향(%),0.0,0.0,0.0,11.79,,,,,002390,한독
발행주식수(보통주),12594080.0,12594080.0,12594080.0,12594080.0,12594080.0,,,,002390,한독
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,146.0,180.0,105.0,121.0,94.0,,,,086670,비엠티
영업이익,10.0,18.0,-7.0,1.0,-8.0,,,,086670,비엠티
세전계속사업이익,9.0,20.0,3.0,-4.0,-11.0,,,,086670,비엠티
당기순이익,7.0,17.0,2.0,-2.0,-9.0,,,,086670,비엠티
당기순이익(지배),8.0,17.0,2.0,-2.0,-9.0,,,,086670,비엠티
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,,086670,비엠티
자산총계,942.0,980.0,962.0,944.0,937.0,,,,086670,비엠티
부채총계,381.0,407.0,387.0,372.0,381.0,,,,086670,비엠티
자본총계,561.0,573.0,575.0,573.0,556.0,,,,086670,비엠티
자본총계(지배),567.0,579.0,582.0,580.0,563.0,,,,086670,비엠티
자본총계(비지배),-6.0,-6.0,-7.0,-7.0,-7.0,,,,086670,비엠티
자본금,41.0,41.0,41.0,41.0,41.0,,,,086670,비엠티
영업활동현금흐름,-18.0,-9.0,28.0,22.0,14.0,,,,086670,비엠티
투자활동현금흐름,-10.0,1.0,-3.0,-7.0,-1.0,,,,086670,비엠티
재무활동현금흐름,-8.0,14.0,-3.0,-3.0,-4.0,,,,086670,비엠티
CAPEX,6.0,4.0,1.0,1.0,2.0,,,,086670,비엠티
FCF,-24.0,-13.0,27.0,21.0,12.0,,,,086670,비엠티
이자발생부채,304.0,332.0,329.0,326.0,322.0,,,,086670,비엠티
영업이익률,7.1,9.92,-6.74,0.98,-8.36,,,,086670,비엠티
순이익률,4.98,9.26,1.87,-1.85,-9.51,,,,086670,비엠티
ROE(%),6.29,8.75,6.88,4.37,1.52,,,,086670,비엠티
ROA(%),3.54,4.97,3.9,2.47,0.79,,,,086670,비엠티
