투자활동현금흐름,-247,-107,-33,-205,-87,,,,073110,엘엠에스
재무활동현금흐름,217,-47,-27,460,-171,,,,073110,엘엠에스
CAPEX,176,144,97,182,133,,,,073110,엘엠에스
FCF,-12,13,-102,-128,153,,,,073110,엘엠에스
이자발생부채,620,606,609,1051,882,,,,073110,엘엠에스
영업이익률,13.8,13.33,15.1,13.51,5.89,,,,073110,엘엠에스
순이익률,9.71,10.63,13.92,16.31,5.6,,,,073110,엘엠에스
ROE(%),13.7,12.13,18.09,21.67,5.76,,,,073110,엘엠에스
ROA(%),6.71,6.04,9.74,11.2,2.99,,,,073110,엘엠에스
부채비율,100.69,91.19,80.89,103.36,82.49,,,,073110,엘엠에스
자본유보율,1627.88,1836.6,2178.69,2675.94,2819.8,,,,073110,엘엠에스
EPS(원),1080,1057,1776,2553,776,,,,073110,엘엠에스
PER(배),19.26,11.45,11.09,8.42,13.59,,,,073110,엘엠에스
BPS(원),8925,9928,11709,14536,15363,,,,073110,엘엠에스
PBR(배),2.33,1.22,1.68,1.48,0.69,,,,073110,엘엠에스
현금DPS(원),50,50,50,50,105,,,,073110,엘엠에스
현금배당수익률,0.24,0.41,0.25,0.23,1,,,,073110,엘엠에스
현금배당성향(%),4.34,4.32,2.54,1.77,12.19,,,,073110,엘엠에스
발행주식수(보통주),8747718,8747718,8784727,8895755,8895755,,,,073110,엘엠에스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1237,1299,1173,1093,989,,,,075970,동국알앤에스
영업이익,95,93,51,32,5,,,,075970,동국알앤에스
세전계속사업이익,61,60,-11,24,12,,,,075970,동국알앤에스
당기순이익,37,11,-8,18,-12,,,,075970,동국알앤에스
당기순이익(지배),38,9,-8,18,-15,,,,075970,동국알앤에스
당기순이익(비지배),-1,2,0,0,3,,,,075970,동국알앤에스
자산총계,1909,1561,1471,1416,1337,,,,075970,동국알앤에스
부채총계,1103,772,700,642,592,,,,075970,동국알앤에스
자본총계,806,788,771,774,744,,,,075970,동국알앤에스
자본총계(지배),771,751,734,735,702,,,,075970,동국알앤에스
자본총계(비지배),35,37,38,38,42,,,,075970,동국알앤에스
자본금,184,184,184,184,184,,,,075970,동국알앤에스
영업활동현금흐름,86,301,59,130,51,,,,075970,동국알앤에스
투자활동현금흐름,-35,79,38,-44,12,,,,075970,동국알앤에스
재무활동현금흐름,-43,-380,-100,-91,-31,,,,075970,동국알앤에스
CAPEX,65,55,35,50,40,,,,075970,동국알앤에스
FCF,21,245,24,79,12,,,,075970,동국알앤에스
이자발생부채,792,479,416,355,350,,,,075970,동국알앤에스
영업이익률,7.65,7.13,4.35,2.93,0.55,,,,075970,동국알앤에스
순이익률,2.99,0.83,-0.72,1.64,-1.17,,,,075970,동국알앤에스
ROE(%),,1.18,-1.12,2.44,-2.04,,,,075970,동국알앤에스
ROA(%),,0.62,-0.56,1.24,-0.84,,,,075970,동국알앤에스
부채비율,136.85,98,90.74,82.98,79.55,,,,075970,동국알앤에스
자본유보율,241.78,237.79,225.18,299,282.47,,,,075970,동국알앤에스
EPS(원),206,49,-45,97,-80,,,,075970,동국알앤에스
PER(배),7.06,29.07,-31.97,15.65,-22.81,,,,075970,동국알앤에스
BPS(원),4189,4081,3987,3996,3816,,,,075970,동국알앤에스
PBR(배),0.35,0.35,0.36,0.38,0.48,,,,075970,동국알앤에스
현금DPS(원),80,80,80,80,0,,,,075970,동국알앤에스
현금배당수익률,5.52,5.63,5.52,5.25,0,,,,075970,동국알앤에스
현금배당성향(%),38.93,163.79,-176.41,82.12,0,,,,075970,동국알앤에스
발행주식수(보통주),18400000,18400000,18400000,18400000,18400000,,,,075970,동국알앤에스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,104,205,628,383,299,,,,187790,나노
영업이익,8,15,49,31,-85,,,,187790,나노
세전계속사업이익,5,0,24,4,-111,,,,187790,나노
당기순이익,6,1,18,1,-90,,,,187790,나노
당기순이익(지배),6,1,18,1,-87,,,,187790,나노
당기순이익(비지배),,,,,-3,,,,187790,나노
자산총계,375,413,594,736,995,,,,187790,나노
부채총계,236,284,446,566,568,,,,187790,나노
자본총계,139,129,148,170,427,,,,187790,나노
자본총계(지배),139,129,148,170,347,,,,187790,나노
자본총계(비지배),,,,,80,,,,187790,나노
자본금,13,13,13,14,24,,,,187790,나노
영업활동현금흐름,0,-2,32,1,-163,,,,187790,나노
투자활동현금흐름,-31,-34,-87,-123,92,,,,187790,나노
재무활동현금흐름,15,38,85,124,32,,,,187790,나노
CAPEX,41,24,77,23,41,,,,187790,나노
FCF,-41,-25,-45,-23,-204,,,,187790,나노
이자발생부채,222,270,366,473,397,,,,187790,나노
영업이익률,7.53,7.4,7.79,8.1,-28.33,,,,187790,나노
순이익률,6.15,0.53,2.79,0.14,-30.07,,,,187790,나노
ROE(%),,0.81,12.64,0.34,-33.77,,,,187790,나노
ROA(%),,0.28,3.48,0.08,-10.39,,,,187790,나노
부채비율,169.71,219.74,301,333.92,133.23,,,,187790,나노
자본유보율,969.93,894.77,1044.85,1133.99,1400.54,,,,187790,나노
EPS(원),32,5,82,2,-390,,,,187790,나노
PER(배),,,,,-4.48,,,,187790,나노
BPS(원),653,606,696,761,1497,,,,187790,나노
PBR(배),,,,,1.17,,,,187790,나노
현금DPS(원),0,0,0,0,0,,,,187790,나노
현금배당수익률,,,,0,0,,,,187790,나노
현금배당성향(%),0,0,0,0,0,,,,187790,나노
발행주식수(보통주),21292101,21292101,21292101,22284935,23784935,,,,187790,나노
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1002,750,770,802,914,,,,048910,대원미디어
영업이익,6,3,-51,17,43,,,,048910,대원미디어
세전계속사업이익,2,4,-130,14,60,,,,048910,대원미디어
당기순이익,-1,-17,-136,7,50,,,,048910,대원미디어
당기순이익(지배),-12,-19,-146,-11,33,,,,048910,대원미디어
당기순이익(비지배),11,3,10,18,17,,,,048910,대원미디어
자산총계,1008,992,887,900,938,,,,048910,대원미디어
부채총계,319,340,377,352,275,,,,048910,대원미디어
자본총계,688,652,511,548,663,,,,048910,대원미디어
자본총계(지배),556,524,387,412,512,,,,048910,대원미디어
자본총계(비지배),132,128,124,137,150,,,,048910,대원미디어
자본금,45,45,45,49,56,,,,048910,대원미디어
영업활동현금흐름,76,22,80,26,101,,,,048910,대원미디어
투자활동현금흐름,-123,-157,-77,-9,-86,,,,048910,대원미디어
재무활동현금흐름,-7,71,59,32,-25,,,,048910,대원미디어
CAPEX,3,3,6,2,12,,,,048910,대원미디어
FCF,73,19,74,23,89,,,,048910,대원미디어
이자발생부채,3,78,132,142,65,,,,048910,대원미디어
영업이익률,0.56,0.4,-6.68,2.15,4.7,,,,048910,대원미디어
순이익률,-0.1,-2.24,-17.65,0.85,5.46,,,,048910,대원미디어
ROE(%),-2.19,-3.59,-32.07,-2.86,7.07,,,,048910,대원미디어
ROA(%),-0.1,-1.68,-14.46,0.76,5.43,,,,048910,대원미디어
부채비율,46.42,52.19,73.71,64.11,41.57,,,,048910,대원미디어
자본유보율,833.27,791.98,505.29,513.63,617.63,,,,048910,대원미디어
EPS(원),-138,-215,-1620,-126,308,,,,048910,대원미디어
PER(배),-59.03,-48.09,-3.02,-50.93,30.43,,,,048910,대원미디어
BPS(원),6360,5989,4424,4382,4749,,,,048910,대원미디어
PBR(배),1.28,1.73,1.11,1.46,1.97,,,,048910,대원미디어
현금DPS(원),0,0,0,0,0,,,,048910,대원미디어
현금배당수익률,0,0,0,0,0,,,,048910,대원미디어
현금배당성향(%),,,0,0,0,,,,048910,대원미디어
발행주식수(보통주),9015664,9015664,9015664,9662057,11058764,,,,048910,대원미디어
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,831,625,361,379,290,,,,067770,세진티에스
영업이익,18,-12,-49,4,-36,,,,067770,세진티에스
세전계속사업이익,23,-4,-51,10,-63,,,,067770,세진티에스
당기순이익,14,-14,-51,8,-56,,,,067770,세진티에스
당기순이익(지배),13,-21,-43,8,-56,,,,067770,세진티에스
당기순이익(비지배),1,6,-8,,,,,,067770,세진티에스
자산총계,728,657,534,543,486,,,,067770,세진티에스
부채총계,118,74,37,37,34,,,,067770,세진티에스
자본총계,610,583,497,507,452,,,,067770,세진티에스
자본총계(지배),568,537,497,507,452,,,,067770,세진티에스
자본총계(비지배),43,46,,,,,,,067770,세진티에스
자본금,42,42,42,42,42,,,,067770,세진티에스
영업활동현금흐름,-29,54,39,34,4,,,,067770,세진티에스
투자활동현금흐름,24,-41,-16,-38,-10,,,,067770,세진티에스
재무활동현금흐름,-8,-4,-37,,0,,,,067770,세진티에스
CAPEX,81,10,18,16,10,,,,067770,세진티에스
FCF,-111,44,21,18,-6,,,,067770,세진티에스
이자발생부채,,,,,,,,,067770,세진티에스
영업이익률,2.18,-1.95,-13.55,0.99,-12.34,,,,067770,세진티에스
순이익률,1.74,-2.32,-14.07,2.12,-19.18,,,,067770,세진티에스
ROE(%),2.34,-3.75,-8.35,1.6,-11.61,,,,067770,세진티에스
ROA(%),2.04,-2.09,-8.53,1.49,-10.81,,,,067770,세진티에스
부채비율,19.32,12.62,7.38,7.2,7.61,,,,067770,세진티에스
자본유보율,1221.64,1160.53,1061.57,1081.86,946.64,,,,067770,세진티에스
EPS(원),157,-247,-514,96,-663,,,,067770,세진티에스
PER(배),19.63,-8.22,-4.3,22.24,-4.56,,,,067770,세진티에스
BPS(원),6852,6482,5999,6119,5448,,,,067770,세진티에스
PBR(배),0.45,0.31,0.37,0.35,0.55,,,,067770,세진티에스
현금DPS(원),50,0,0,0,0,,,,067770,세진티에스
현금배당수익률,1.62,0,0,0,0,,,,067770,세진티에스
현금배당성향(%),31.39,,0,0,0,,,,067770,세진티에스
발행주식수(보통주),8396593,8396593,8396593,8396593,8396593,,,,067770,세진티에스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1865,1047,1345,593,509,,,,052420,오성엘에스티
영업이익,114,-358,-224,-50,6,,,,052420,오성엘에스티
세전계속사업이익,1685,-3270,-7660,-208,-84,,,,052420,오성엘에스티
당기순이익,1277,-2826,-7716,-538,-551,,,,052420,오성엘에스티
당기순이익(지배),1240,-2826,-7716,-538,-551,,,,052420,오성엘에스티
당기순이익(비지배),37,,,,,,,,052420,오성엘에스티
자산총계,5753,2801,2039,1630,956,,,,052420,오성엘에스티
부채총계,2716,2460,2724,500,374,,,,052420,오성엘에스티
자본총계,3037,341,-686,1130,582,,,,052420,오성엘에스티
자본총계(지배),3037,341,-686,1130,582,,,,052420,오성엘에스티
자본총계(비지배),,,,,,,,,052420,오성엘에스티
자본금,126,135,138,620,620,,,,052420,오성엘에스티
영업활동현금흐름,95,-363,-80,-35,26,,,,052420,오성엘에스티
투자활동현금흐름,-1918,-5,279,-28,-28,,,,052420,오성엘에스티
재무활동현금흐름,1724,259,-196,76,0,,,,052420,오성엘에스티
CAPEX,1255,322,42,22,21,,,,052420,오성엘에스티
FCF,-1161,-686,-122,-57,5,,,,052420,오성엘에스티
이자발생부채,1741,1909,714,255,112,,,,052420,오성엘에스티
영업이익률,6.09,-34.15,-16.66,-8.38,1.26,,,,052420,오성엘에스티
순이익률,68.45,-269.93,-573.49,-90.66,-108.39,,,,052420,오성엘에스티
ROE(%),55,-167.32,4476.86,-242.01,-64.41,,,,052420,오성엘에스티
ROA(%),22.37,-66.08,-318.88,-29.3,-42.64,,,,052420,오성엘에스티
부채비율,89.42,721.71,-397.41,44.27,64.27,,,,052420,오성엘에스티
자본유보율,2353.6,182.75,-2588.91,88.92,0.61,,,,052420,오성엘에스티
EPS(원),25754,-54205,-141870,-847,-445,,,,052420,오성엘에스티
PER(배),2.24,-0.26,-0.05,-1.44,-1.79,,,,052420,오성엘에스티
BPS(원),60702,6355,-12487,911,470,,,,052420,오성엘에스티
PBR(배),0.95,2.21,-0.55,1.33,1.69,,,,052420,오성엘에스티
현금DPS(원),0,0,0,0,0,,,,052420,오성엘에스티
현금배당수익률,0,0,0,0,0,,,,052420,오성엘에스티
현금배당성향(%),,,0,0,0,,,,052420,오성엘에스티
발행주식수(보통주),5003898,5363514,5489957,123955573,123955580,,,,052420,오성엘에스티
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,2247,2175,2541,1754,2932,4279,4890,4921,054620,AP시스템
영업이익,269,130,160,37,121,317,422,460,054620,AP시스템
세전계속사업이익,168,157,183,10,104,338,440,459,054620,AP시스템
당기순이익,112,114,152,10,78,273,359,379,054620,AP시스템
당기순이익(지배),107,118,151,13,86,325,413,439,054620,AP시스템
당기순이익(비지배),5,-4,1,-2,-8,,,,054620,AP시스템
자산총계,2772,2055,1822,2156,2990,3524,3857,4248,054620,AP시스템
부채총계,1938,1180,805,1158,1893,2091,2057,2064,054620,AP시스템
자본총계,834,875,1017,998,1096,1433,1799,2184,054620,AP시스템
자본총계(지배),811,856,997,980,1065,1404,1772,2160,054620,AP시스템
자본총계(비지배),23,19,21,18,32,,,,054620,AP시스템
자본금,108,108,116,117,117,126,126,126,054620,AP시스템
영업활동현금흐름,271,306,13,-85,-308,524,370,424,054620,AP시스템
투자활동현금흐름,-373,-82,-156,-168,-206,-206,-138,-131,054620,AP시스템
재무활동현금흐름,513,-375,54,108,406,-80,-46,-1,054620,AP시스템
CAPEX,218,279,139,29,161,148,89,92,054620,AP시스템
FCF,53,27,-125,-114,-470,435,252,310,054620,AP시스템
이자발생부채,676,404,485,637,1304,,,,054620,AP시스템
영업이익률,11.96,6,6.31,2.09,4.14,7.41,8.63,9.36,054620,AP시스템
순이익률,4.98,5.24,5.99,0.59,2.66,6.37,7.35,7.69,054620,AP시스템
ROE(%),,14.13,16.32,1.3,8.43,26.31,26,22.36,054620,AP시스템
ROA(%),,4.72,7.86,0.52,3.03,8.37,9.74,9.34,054620,AP시스템
부채비율,232.32,134.89,79.07,115.99,172.72,145.92,114.31,94.52,054620,AP시스템
자본유보율,656.59,766.8,933.86,939.58,1017.36,,,,054620,AP시스템
EPS(원),497,545,674,55,368,1271,1612,1716,054620,AP시스템
PER(배),26.15,13.36,14.64,111.13,35.31,14.01,11.04,10.37,054620,AP시스템
BPS(원),3774,4119,4645,4659,5096,6079,7674,9353,054620,AP시스템
PBR(배),3.44,1.77,2.12,1.31,2.55,2.93,2.32,1.9,054620,AP시스템
현금DPS(원),0,0,0,0,0,0,0,0,054620,AP시스템
현금배당수익률,0,0,0,0,0,0,0,0,054620,AP시스템
현금배당성향(%),,,0,0,0,,,,054620,AP시스템
발행주식수(보통주),21538926,21620081,23211863,23409961,23409961,,,,054620,AP시스템
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1510,2925,3179,2107,2198,,,,032500,케이엠더블유
영업이익,-151,417,435,-189,-449,,,,032500,케이엠더블유
세전계속사업이익,-256,408,478,-197,-498,,,,032500,케이엠더블유
당기순이익,-346,375,399,-125,-478,,,,032500,케이엠더블유
당기순이익(지배),-350,365,392,-133,-479,,,,032500,케이엠더블유
당기순이익(비지배),4,10,7,8,1,,,,032500,케이엠더블유
자산총계,2069,2351,2509,2955,3206,,,,032500,케이엠더블유
부채총계,1935,1871,1639,1936,2609,,,,032500,케이엠더블유
자본총계,134,480,870,1019,597,,,,032500,케이엠더블유
자본총계(지배),114,462,845,847,423,,,,032500,케이엠더블유
자본총계(비지배),20,18,25,172,174,,,,032500,케이엠더블유
자본금,80,80,80,80,80,,,,032500,케이엠더블유
영업활동현금흐름,-6,281,438,-238,-46,,,,032500,케이엠더블유
투자활동현금흐름,-127,-145,-278,-189,-198,,,,032500,케이엠더블유
재무활동현금흐름,63,-106,-99,509,289,,,,032500,케이엠더블유
CAPEX,88,176,278,160,176,,,,032500,케이엠더블유
FCF,-94,105,160,-397,-223,,,,032500,케이엠더블유
이자발생부채,1345,1237,1085,1364,1626,,,,032500,케이엠더블유
영업이익률,-9.97,14.24,13.67,-8.99,-20.42,,,,032500,케이엠더블유
순이익률,-22.93,12.82,12.56,-5.94,-21.75,,,,032500,케이엠더블유
ROE(%),-116.64,126.8,59.99,-15.69,-75.49,,,,032500,케이엠더블유
ROA(%),-16.74,16.97,16.43,-4.58,-15.52,,,,032500,케이엠더블유
부채비율,1443.16,389.85,188.48,190.09,437.07,,,,032500,케이엠더블유
자본유보율,207.16,665.82,1146.59,1057.91,507.59,,,,032500,케이엠더블유
EPS(원),-2174,2268,2435,-824,-2976,,,,032500,케이엠더블유
PER(배),-2.24,6.04,6.98,-19.05,-2.39,,,,032500,케이엠더블유
BPS(원),812,3300,6034,6045,3019,,,,032500,케이엠더블유
PBR(배),5.98,4.15,2.82,2.6,2.35,,,,032500,케이엠더블유
현금DPS(원),0,0,0,0,0,,,,032500,케이엠더블유
현금배당수익률,0,0,0,0,0,,,,032500,케이엠더블유
현금배당성향(%),,,0,0,0,,,,032500,케이엠더블유
발행주식수(보통주),16100000,16100000,16100000,16100000,16100000,,,,032500,케이엠더블유
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014,2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,439,704,215,444,348,,,,089790,제이티
영업이익,61,37,-21,63,-34,,,,089790,제이티
세전계속사업이익,60,48,-16,58,-36,,,,089790,제이티
당기순이익,45,13,-20,63,-35,,,,089790,제이티
당기순이익(지배),45,13,-20,64,-35,,,,089790,제이티
당기순이익(비지배),,,,-1,,,,,089790,제이티
자산총계,426,293,348,489,508,,,,089790,제이티
부채총계,250,93,161,221,281,,,,089790,제이티
자본총계,176,200,187,268,226,,,,089790,제이티
자본총계(지배),176,200,187,268,226,,,,089790,제이티
자본총계(비지배),,,,0,,,,,089790,제이티
자본금,31,31,31,35,37,,,,089790,제이티
영업활동현금흐름,22,49,-69,-94,-67,,,,089790,제이티
투자활동현금흐름,-6,24,3,-10,-13,,,,089790,제이티
재무활동현금흐름,23,-24,85,10,62,,,,089790,제이티
CAPEX,3,4,3,9,26,,,,089790,제이티
FCF,19,45,-73,-103,-93,,,,089790,제이티
이자발생부채,147,41,117,152,213,,,,089790,제이티
영업이익률,13.82,5.24,-9.77,14.13,-9.87,,,,089790,제이티
순이익률,10.25,1.85,-9.51,14.17,-10.18,,,,089790,제이티
ROE(%),29.47,6.92,-10.55,,-14.34,,,,089790,제이티
ROA(%),11.4,3.62,-6.37,,-7.11,,,,089790,제이티
부채비율,141.93,46.18,86.2,82.49,124.35,,,,089790,제이티
자본유보율,567.33,655.72,629.83,783.2,615.02,,,,089790,제이티
EPS(원),722,209,-328,985,-478,,,,089790,제이티
PER(배),6.23,19.79,-10.43,5.07,-6.77,,,,089790,제이티
BPS(원),2943,3283,3144,4001,3149,,,,089790,제이티
PBR(배),1.53,1.26,1.09,1.25,1.03,,,,089790,제이티
현금DPS(원),0,0,0,130,0,,,,089790,제이티
현금배당수익률,0,0,0,2.6,0,,,,089790,제이티
현금배당성향(%),,,0,13.57,,,,,089790,제이티
발행주식수(보통주),6226580,6226580,6226580,6987929,7472424,,,,089790,제이티
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,270,264,256,260,232,,,,004770,써니전자
영업이익,-45,-56,-32,-1,4,,,,004770,써니전자
세전계속사업이익,-55,-64,-39,-7,9,,,,004770,써니전자
당기순이익,-57,-64,-39,-7,21,,,,004770,써니전자
당기순이익(지배),-57,-64,-39,-7,21,,,,004770,써니전자
당기순이익(비지배),0,0,0,0,0,,,,004770,써니전자
자산총계,399,337,285,304,411,,,,004770,써니전자
부채총계,202,152,138,45,129,,,,004770,써니전자
자본총계,196,185,147,259,281,,,,004770,써니전자
자본총계(지배),196,185,147,259,281,,,,004770,써니전자
자본총계(비지배),0,0,0,0,0,,,,004770,써니전자
자본금,107,107,107,142,142,,,,004770,써니전자
영업활동현금흐름,-31,-35,-8,25,31,,,,004770,써니전자
투자활동현금흐름,-11,21,12,-14,10,,,,004770,써니전자
재무활동현금흐름,7,15,0,23,78,,,,004770,써니전자
CAPEX,9,4,4,16,3,,,,004770,써니전자
FCF,-39,-39,-12,10,28,,,,004770,써니전자
이자발생부채,154,110,110,20,95,,,,004770,써니전자
영업이익률,-16.75,-21.21,-12.4,-0.53,1.81,,,,004770,써니전자
순이익률,-21.04,-24.36,-15.13,-2.83,8.97,,,,004770,써니전자
ROE(%),-24.76,-33.8,-23.3,-3.62,7.76,,,,004770,써니전자
ROA(%),-13.16,-17.52,-12.43,-2.5,5.82,,,,004770,써니전자
부채비율,103.13,81.97,94.11,17.53,45.97,,,,004770,써니전자
자본유보율,86.17,71.85,36.31,77.42,91.86,,,,004770,써니전자
EPS(원),-258,-293,-176,-31,79,,,,004770,써니전자
PER(배),-1.4,-6.81,-23.56,-66.01,87.42,,,,004770,써니전자
BPS(원),925,841,667,977,1063,,,,004770,써니전자
PBR(배),0.39,2.37,6.2,2.06,6.51,,,,004770,써니전자
현금DPS(원),0,0,0,0,0,,,,004770,써니전자
현금배당수익률,0,0,0,0,0,,,,004770,써니전자
현금배당성향(%),,,0,0,0,,,,004770,써니전자
발행주식수(보통주),21998838,21998838,21998838,26460000,26460000,,,,004770,써니전자
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,5027,5427,6164,5898,5231,5306,5607,6000,004130,대덕GDS
영업이익,131,425,623,179,76,333,368,400,004130,대덕GDS
세전계속사업이익,246,465,670,269,256,429,477,520,004130,대덕GDS
당기순이익,156,359,518,213,210,338,372,390,004130,대덕GDS
당기순이익(지배),161,366,518,213,210,337,372,390,004130,대덕GDS
당기순이익(비지배),-5,-8,,,,,,,004130,대덕GDS
자산총계,4748,4778,5382,5366,5263,5661,5990,6220,004130,대덕GDS
부채총계,1316,1092,1255,989,721,864,899,830,004130,대덕GDS
자본총계,3433,3686,4127,4377,4543,4800,5104,5390,004130,대덕GDS
자본총계(지배),3422,3686,4127,4377,4543,4800,5104,5390,004130,대덕GDS
자본총계(비지배),10,,,,,,,,004130,대덕GDS
자본금,114,114,114,114,114,113,113,110,004130,대덕GDS
영업활동현금흐름,265,445,870,185,560,688,652,670,004130,대덕GDS
투자활동현금흐름,9,-335,-860,-98,51,-533,-351,-380,004130,대덕GDS
재무활동현금흐름,-107,-130,-115,-50,-110,-69,-69,-70,004130,대덕GDS
CAPEX,359,248,978,752,244,244,282,280,004130,대덕GDS
FCF,-94,197,-107,-566,316,429,352,,004130,대덕GDS
이자발생부채,275,181,130,149,105,,,,004130,대덕GDS
영업이익률,2.6,7.83,10.1,3.03,1.45,6.28,6.57,6.67,004130,대덕GDS
순이익률,3.11,6.61,8.4,3.61,4.01,6.37,6.64,6.5,004130,대덕GDS
ROE(%),4.82,10.3,13.26,5.01,4.7,7.2,7.51,7.43,004130,대덕GDS
ROA(%),3.4,7.53,10.2,3.96,3.94,6.19,6.39,6.39,004130,대덕GDS
부채비율,38.33,29.62,30.4,22.59,15.87,18,17.62,15.4,004130,대덕GDS
자본유보율,2962.28,3207.47,3620.84,3760.25,3920.76,,,,004130,대덕GDS
EPS(원),707,1610,2279,937,922,1480,1637,1715,004130,대덕GDS
PER(배),13.87,10.96,7.7,13.02,10.81,8.78,7.94,7.58,004130,대덕GDS
BPS(원),15890,17156,19207,19534,20273,21916,23305,24612,004130,대덕GDS
PBR(배),0.62,1.03,0.91,0.62,0.49,0.59,0.56,0.53,004130,대덕GDS
현금DPS(원),300,300,300,300,300,300,300,300,004130,대덕GDS
현금배당수익률,3.06,1.7,1.71,2.46,3.01,2.31,2.31,2.31,004130,대덕GDS
현금배당성향(%),40.24,17.64,12.46,31.61,32.11,0.2,0.18,0.17,004130,대덕GDS
발행주식수(보통주),20575613,20575613,20575613,20575613,20575613,,,,004130,대덕GDS
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,711,704,671,1097,1003,1226,1499,1679,095610,테스
영업이익,59,13,62,163,95,192,250,288,095610,테스
세전계속사업이익,47,19,40,156,139,218,276,318,095610,테스
당기순이익,55,16,50,147,125,181,226,261,095610,테스
당기순이익(지배),55,16,50,147,126,174,219,252,095610,테스
당기순이익(비지배),,,,-1,-1,,,,095610,테스
자산총계,804,996,916,1106,1206,1643,1854,2181,095610,테스
부채총계,240,424,273,266,265,440,471,542,095610,테스
자본총계,564,572,642,840,942,1207,1383,1644,095610,테스
자본총계(지배),564,572,642,839,941,1207,1381,1641,095610,테스
자본총계(비지배),,,,1,1,,,,095610,테스
자본금,47,48,48,51,51,66,66,66,095610,테스
영업활동현금흐름,61,171,-71,263,-30,261,176,245,095610,테스
투자활동현금흐름,-53,-102,-49,-299,-26,-119,-121,-135,095610,테스
재무활동현금흐름,21,41,56,29,34,90,-46,-38,095610,테스
CAPEX,21,27,11,15,24,42,37,42,095610,테스
FCF,40,144,-82,248,-54,185,178,233,095610,테스
이자발생부채,82,114,134,95,120,,,,095610,테스
영업이익률,8.25,1.8,9.28,14.9,9.45,15.64,16.7,17.16,095610,테스
순이익률,7.66,2.28,7.43,13.36,12.41,14.79,15.07,15.55,095610,테스
ROE(%),10.24,2.83,,19.89,14.11,16.24,16.94,16.71,095610,테스
ROA(%),7.16,1.79,,14.5,10.78,12.72,12.93,12.94,095610,테스
부채비율,42.51,74.27,42.57,31.7,28.1,36.42,34.05,32.95,095610,테스
자본유보율,1107.5,1106.87,1246.13,1527.74,1731.03,,,,095610,테스
EPS(원),359,106,328,943,772,991,1206,1389,095610,테스
PER(배),13.72,32.9,23.77,12.21,13.12,16.3,13.39,11.62,095610,테스
BPS(원),3714,3795,4265,5166,5781,6640,7599,9032,095610,테스
PBR(배),1.33,0.92,1.83,2.23,1.75,2.43,2.13,1.79,095610,테스
현금DPS(원),50,0,51,101,133,210,210,218,095610,테스
현금배당수익률,1.01,0,0.65,0.88,1.31,1.3,1.3,1.35,095610,테스
현금배당성향(%),13.81,0,15.21,11.15,17.21,0.21,0.17,0.16,095610,테스
발행주식수(보통주),15185798,15185798,15185798,16236583,16274110,,,,095610,테스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1042,1125,1000,945,1263,,,,010470,오리콤
영업이익,89,78,40,32,30,,,,010470,오리콤
세전계속사업이익,95,82,44,37,34,,,,010470,오리콤
당기순이익,65,48,30,25,28,,,,010470,오리콤
당기순이익(지배),65,48,30,25,28,,,,010470,오리콤
당기순이익(비지배),,,,,,,,,010470,오리콤
자산총계,988,1238,1149,1314,1939,,,,010470,오리콤
부채총계,526,747,537,701,1262,,,,010470,오리콤
자본총계,462,492,612,614,677,,,,010470,오리콤
자본총계(지배),462,492,612,614,677,,,,010470,오리콤
자본총계(비지배),,,,,,,,,010470,오리콤
자본금,105,106,108,108,113,,,,010470,오리콤
영업활동현금흐름,-45,90,78,226,31,,,,010470,오리콤
투자활동현금흐름,-7,-14,-92,-13,9,,,,010470,오리콤
재무활동현금흐름,-15,-14,-12,-20,-10,,,,010470,오리콤
CAPEX,11,8,2,7,11,,,,010470,오리콤
FCF,-56,83,76,219,20,,,,010470,오리콤
이자발생부채,,,,,,,,,010470,오리콤
영업이익률,8.51,6.96,3.99,3.37,2.36,,,,010470,오리콤
순이익률,6.24,4.29,3.04,2.65,2.21,,,,010470,오리콤
ROE(%),,10.11,5.51,4.08,4.32,,,,010470,오리콤
ROA(%),,4.33,2.55,2.03,1.71,,,,010470,오리콤
부채비율,113.76,151.79,87.66,114.2,186.43,,,,010470,오리콤
자본유보율,341.42,365.36,388.26,387.5,388.16,,,,010470,오리콤
EPS(원),617,455,284,232,255,,,,010470,오리콤
